Dr. Seuss
Justin Verlander
William Morris
Anne Frank
Bill Cosby
Imelda Marcos
Thomas Frank
Cecily von Ziegesar
George Lucas
William Barclay
Tyson Gay
Hilary Duff
Greg van Eekhout
William Arthur Ward
Warren Buffett
Nagarjuna
Tom DeLonge
George Cukor
Joshua Reynolds
Joseph Addison
Hugh Hefner
Amy Tan
Fede Alvarez
Henry Moore
Toni Morrison
Mark Warner
Graydon Carter
Stephen Collins
Jim Hodges
Jose Manuel Barroso
Jenson Button
Kristan Higgins
Ernst Fischer
Sophia Loren
Orison Swett Marden
Leland Ryken
Abbie Cornish
Anish Kapoor
Dolly Parton
Jimmy Cliff
Tim Howard
Jemima Kirke
Tennessee Williams
Sitting Bull
Marcus Brigstocke
Heber J. Grant
Connie Nielsen
Gian Carlo Menotti
Anais Nin
Alexander Graham Bell
Mary Manin Morrissey
Alan Sugar
Lisa Loeb
Al Lopez
Paulo Coelho
Mike Krzyzewski
Walter Scott
Caleb Cushing
Emma McLaughlin
Robert Mapplethorpe
Katy Perry
Matt Cameron
Steven Cojocaru
Kiowa Gordon
Norman Lear
Flannery O'Connor
Jesus Christ
Anonymous
Lupe Fiasco
Nido Qubein
Valentino Garavani
Kreayshawn
Francis Ford Coppola
Cristiano Ronaldo
Michael Crawford
Halle Berry
Mika Waltari
Theodore Sturgeon
Steven Pinker
Marianne Williamson
Gabrielle Roy
Sam Yagan
Jerzy Kosinski
Brene Brown
Mark Caine
Edna St. Vincent Millay
Edgar Rice Burroughs
Andy Dick
Conrad Hall
Karen Kain
Monika Chiang
J. K. Rowling
Neil Tennant
Melissa Rosenberg
Robert Delaunay
Khalil Gibran
Peter Agre
Carl Rogers
Franz Boas
Kacey Musgraves
Chen Guangbiao
Al Pacino
Nobuo Uematsu
Mark Waters
Mao Zedong
Eugene Jarecki
George Muller
Mario Lopez
Milos Forman
Elisabeth Kubler-Ross
Henry Chadwick
Mary Catherine Bateson
Kellie Pickler
Amber Tamblyn
A. J. McLean
Sarah Paulson
Harland Williams
Salvador Dali
James E. Faust
Parker Palmer
Kurt Huber
Dan Scanlon
Wilson Mizner
Pope Francis
Sam Ewing
John Clare
Arthur Hailey
Walter Winchell
Alexandre Dumas
Paul Cezanne
Roy Blount
Ansel Adams
Amos Bronson Alcott
Vaclav Havel
John Ratzenberger
Lawrence Welk
Harper Lee
Mia Hamm
Kristen Schaal
Junot Diaz
Morihei Ueshiba
William Makepeace Thackeray
Jose Ortega y Gasset
Maira Kalman
Kyle Chandler
Denis Waitley
Marcus Garvey
John Kricfalusi
Marina and the Diamonds
Ross Perot
Calvin Coolidge
Tamra Davis
Ellen DeGeneres
Rudyard Kipling
Will Durant
Jean Anouilh
Rashid Johnson
Christopher Marlowe
Oliver Wendell Holmes
Stephan Pastis
Ayelet Waldman
Billie Jean King
Carrie Brownstein
George Best
Guy Kawasaki
Edward Kennedy
Robert Mankoff
Benjamin Disraeli
Rose McIver
Michael Palin
George Burns
Gilbert K. Chesterton
Robert Orben
Erich Fromm
Jean-Michel Basquiat
Irving Berlin
Richard L. Evans
John Updike
Domhnall Gleeson
Frederic Chopin
Audrey Hepburn
Georges Bernanos
Donald Trump
Arthur Schopenhauer
Sharon Salzberg
